Year;VotingSet;AwardedTo;AwardedBy;Points
2021;SF1_Jury;Ireland;Australia;3
2021;SF1_Jury;Ireland;North Macedonia;0
2021;SF1_Jury;Ireland;Ireland;NA
2021;SF1_Jury;Ireland;Cyprus;2
2021;SF1_Jury;Ireland;Norway;1
2021;SF1_Jury;Ireland;Croatia;0
2021;SF1_Jury;Ireland;Belgium;3
2021;SF1_Jury;Ireland;Israel;0
2021;SF1_Jury;Ireland;Romania;0
2021;SF1_Jury;Ireland;Azerbaijan;3
2021;SF1_Jury;Ireland;Ukraine;0
2021;SF1_Jury;Ireland;Malta;2
2021;SF1_Jury;Ireland;Germany;0
2021;SF1_Jury;Ireland;Italy;1
2021;SF1_Jury;Ireland;Netherlands;0
2021;SF1_Jury;Cyprus;Lithuania;4
2021;SF1_Jury;Cyprus;Slovenia;12
2021;SF1_Jury;Cyprus;Russia;8
2021;SF1_Jury;Cyprus;Sweden;4
2021;SF1_Jury;Cyprus;Australia;10
2021;SF1_Jury;Cyprus;North Macedonia;4
2021;SF1_Jury;Cyprus;Ireland;4
2021;SF1_Jury;Cyprus;Cyprus;NA
2021;SF1_Jury;Cyprus;Norway;5
2021;SF1_Jury;Cyprus;Croatia;10
2021;SF1_Jury;Cyprus;Belgium;0
2021;SF1_Jury;Cyprus;Israel;10
2021;SF1_Jury;Cyprus;Romania;3
2021;SF1_Jury;Cyprus;Azerbaijan;0
2021;SF1_Jury;Cyprus;Ukraine;2
2021;SF1_Jury;Cyprus;Malta;8
2021;SF1_Jury;Cyprus;Germany;5
2021;SF1_Jury;Cyprus;Italy;3
2021;SF1_Jury;Cyprus;Netherlands;0
2021;SF1_Jury;Norway;Lithuania;2
2021;SF1_Jury;Norway;Slovenia;3
2021;SF1_Jury;Norway;Russia;0
2021;SF1_Jury;Norway;Sweden;8
2021;SF1_Jury;Norway;Australia;1
2021;SF1_Jury;Norway;North Macedonia;2
2021;SF1_Jury;Norway;Ireland;3
2021;SF1_Jury;Norway;Cyprus;0
2021;SF1_Jury;Norway;Norway;NA
2021;SF1_Jury;Norway;Croatia;0
2021;SF1_Jury;Norway;Belgium;7
2021;SF1_Jury;Norway;Israel;2
2021;SF1_Jury;Norway;Romania;0
2021;SF1_Jury;Norway;Azerbaijan;0
2021;SF1_Jury;Norway;Ukraine;0
2021;SF1_Jury;Norway;Malta;0
2021;SF1_Jury;Norway;Germany;0
2021;SF1_Jury;Norway;Italy;6
2021;SF1_Jury;Norway;Netherlands;4
2021;SF1_Jury;Croatia;Lithuania;1
2021;SF1_Jury;Croatia;Slovenia;7
2021;SF1_Jury;Croatia;Russia;3
2021;SF1_Jury;Croatia;Sweden;0
2021;SF1_Jury;Croatia;Australia;0
2021;SF1_Jury;Croatia;North Macedonia;8
2021;SF1_Jury;Croatia;Ireland;10
2021;SF1_Jury;Croatia;Cyprus;5
2021;SF1_Jury;Croatia;Norway;0
2021;SF1_Jury;Croatia;Croatia;NA
2021;SF1_Jury;Croatia;Belgium;1
2021;SF1_Jury;Croatia;Israel;1
2021;SF1_Jury;Croatia;Romania;1
2021;SF1_Jury;Croatia;Azerbaijan;5
2021;SF1_Jury;Croatia;Ukraine;8
2021;SF1_Jury;Croatia;Malta;3
2021;SF1_Jury;Croatia;Germany;2
2021;SF1_Jury;Croatia;Italy;2
2021;SF1_Jury;Croatia;Netherlands;0
2021;SF1_Jury;Belgium;Lithuania;10
2021;SF1_Jury;Belgium;Slovenia;5
2021;SF1_Jury;Belgium;Russia;6
2021;SF1_Jury;Belgium;Sweden;2
2021;SF1_Jury;Belgium;Australia;0
2021;SF1_Jury;Belgium;North Macedonia;0
2021;SF1_Jury;Belgium;Ireland;0
2021;SF1_Jury;Belgium;Cyprus;4
2021;SF1_Jury;Belgium;Norway;0
2021;SF1_Jury;Belgium;Croatia;4
2021;SF1_Jury;Belgium;Belgium;NA
2021;SF1_Jury;Belgium;Israel;7
2021;SF1_Jury;Belgium;Romania;0
2021;SF1_Jury;Belgium;Azerbaijan;2
2021;SF1_Jury;Belgium;Ukraine;10
2021;SF1_Jury;Belgium;Malta;0
2021;SF1_Jury;Belgium;Germany;0
2021;SF1_Jury;Belgium;Italy;10
2021;SF1_Jury;Belgium;Netherlands;10
2021;SF1_Jury;Israel;Lithuania;7
2021;SF1_Jury;Israel;Slovenia;2
2021;SF1_Jury;Israel;Russia;10
2021;SF1_Jury;Israel;Sweden;10
2021;SF1_Jury;Israel;Australia;8
2021;SF1_Jury;Israel;North Macedonia;12
2021;SF1_Jury;Israel;Ireland;0
2021;SF1_Jury;Israel;Cyprus;1
2021;SF1_Jury;Israel;Norway;8
2021;SF1_Jury;Israel;Croatia;7
2021;SF1_Jury;Israel;Belgium;4
2021;SF1_Jury;Israel;Israel;NA
2021;SF1_Jury;Israel;Romania;0
2021;SF1_Jury;Israel;Azerbaijan;1
2021;SF1_Jury;Israel;Ukraine;6
2021;SF1_Jury;Israel;Malta;0
2021;SF1_Jury;Israel;Germany;3
2021;SF1_Jury;Israel;Italy;12
2021;SF1_Jury;Israel;Netherlands;8
2021;SF1_Jury;Romania;Lithuania;5
2021;SF1_Jury;Romania;Slovenia;0
2021;SF1_Jury;Romania;Russia;0
2021;SF1_Jury;Romania;Sweden;0
2021;SF1_Jury;Romania;Australia;0
2021;SF1_Jury;Romania;North Macedonia;0
2021;SF1_Jury;Romania;Ireland;0
2021;SF1_Jury;Romania;Cyprus;10
2021;SF1_Jury;Romania;Norway;2
2021;SF1_Jury;Romania;Croatia;3
2021;SF1_Jury;Romania;Belgium;5
2021;SF1_Jury;Romania;Israel;0
2021;SF1_Jury;Romania;Romania;NA
2021;SF1_Jury;Romania;Azerbaijan;7
2021;SF1_Jury;Romania;Ukraine;7
2021;SF1_Jury;Romania;Malta;12
2021;SF1_Jury;Romania;Germany;6
2021;SF1_Jury;Romania;Italy;0
2021;SF1_Jury;Romania;Netherlands;1
2021;SF1_Jury;Azerbaijan;Lithuania;0
2021;SF1_Jury;Azerbaijan;Slovenia;8
2021;SF1_Jury;Azerbaijan;Russia;4
2021;SF1_Jury;Azerbaijan;Sweden;3
2021;SF1_Jury;Azerbaijan;Australia;5
2021;SF1_Jury;Azerbaijan;North Macedonia;6
2021;SF1_Jury;Azerbaijan;Ireland;7
2021;SF1_Jury;Azerbaijan;Cyprus;0
2021;SF1_Jury;Azerbaijan;Norway;6
2021;SF1_Jury;Azerbaijan;Croatia;0
2021;SF1_Jury;Azerbaijan;Belgium;0
2021;SF1_Jury;Azerbaijan;Israel;0
2021;SF1_Jury;Azerbaijan;Romania;0
2021;SF1_Jury;Azerbaijan;Azerbaijan;NA
2021;SF1_Jury;Azerbaijan;Ukraine;0
2021;SF1_Jury;Azerbaijan;Malta;6
2021;SF1_Jury;Azerbaijan;Germany;0
2021;SF1_Jury;Azerbaijan;Italy;0
2021;SF1_Jury;Azerbaijan;Netherlands;2
2021;SF1_Jury;Ukraine;Lithuania;12
2021;SF1_Jury;Ukraine;Slovenia;1
2021;SF1_Jury;Ukraine;Russia;5
2021;SF1_Jury;Ukraine;Sweden;5
2021;SF1_Jury;Ukraine;Australia;4
2021;SF1_Jury;Ukraine;North Macedonia;5
2021;SF1_Jury;Ukraine;Ireland;6
2021;SF1_Jury;Ukraine;Cyprus;0
2021;SF1_Jury;Ukraine;Norway;7
2021;SF1_Jury;Ukraine;Croatia;5
2021;SF1_Jury;Ukraine;Belgium;10
2021;SF1_Jury;Ukraine;Israel;4
2021;SF1_Jury;Ukraine;Romania;10
2021;SF1_Jury;Ukraine;Azerbaijan;8
2021;SF1_Jury;Ukraine;Ukraine;NA
2021;SF1_Jury;Ukraine;Malta;7
2021;SF1_Jury;Ukraine;Germany;8
2021;SF1_Jury;Ukraine;Italy;0
2021;SF1_Jury;Ukraine;Netherlands;6
2021;SF1_Jury;Malta;Lithuania;6
2021;SF1_Jury;Malta;Slovenia;6
2021;SF1_Jury;Malta;Russia;12
2021;SF1_Jury;Malta;Sweden;12
2021;SF1_Jury;Malta;Australia;12
2021;SF1_Jury;Malta;North Macedonia;10
2021;SF1_Jury;Malta;Ireland;12
2021;SF1_Jury;Malta;Cyprus;12
2021;SF1_Jury;Malta;Norway;12
2021;SF1_Jury;Malta;Croatia;12
2021;SF1_Jury;Malta;Belgium;8
2021;SF1_Jury;Malta;Israel;8
2021;SF1_Jury;Malta;Romania;12
2021;SF1_Jury;Malta;Azerbaijan;10
2021;SF1_Jury;Malta;Ukraine;5
2021;SF1_Jury;Malta;Malta;NA
2021;SF1_Jury;Malta;Germany;10
2021;SF1_Jury;Malta;Italy;8
2021;SF1_Jury;Malta;Netherlands;7
2021;SF1_Tele;Lithuania;Lithuania;NA
2021;SF1_Tele;Lithuania;Slovenia;0
2021;SF1_Tele;Lithuania;Russia;7
2021;SF1_Tele;Lithuania;Sweden;10
2021;SF1_Tele;Lithuania;Australia;8
2021;SF1_Tele;Lithuania;North Macedonia;4
2021;SF1_Tele;Lithuania;Ireland;12
2021;SF1_Tele;Lithuania;Cyprus;12
2021;SF1_Tele;Lithuania;Norway;12
2021;SF1_Tele;Lithuania;Croatia;3
2021;SF1_Tele;Lithuania;Belgium;8
2021;SF1_Tele;Lithuania;Israel;5
2021;SF1_Tele;Lithuania;Romania;6
2021;SF1_Tele;Lithuania;Azerbaijan;3
2021;SF1_Tele;Lithuania;Ukraine;12
2021;SF1_Tele;Lithuania;Malta;7
2021;SF1_Tele;Lithuania;Germany;12
2021;SF1_Tele;Lithuania;Italy;8
2021;SF1_Tele;Lithuania;Netherlands;8
2021;SF1_Tele;Slovenia;Lithuania;0
2021;SF1_Tele;Slovenia;Slovenia;NA
2021;SF1_Tele;Slovenia;Russia;0
2021;SF1_Tele;Slovenia;Sweden;0
2021;SF1_Tele;Slovenia;Australia;0
2021;SF1_Tele;Slovenia;North Macedonia;3
2021;SF1_Tele;Slovenia;Ireland;0
2021;SF1_Tele;Slovenia;Cyprus;0
2021;SF1_Tele;Slovenia;Norway;0
2021;SF1_Tele;Slovenia;Croatia;5
2021;SF1_Tele;Slovenia;Belgium;0
2021;SF1_Tele;Slovenia;Israel;0
2021;SF1_Tele;Slovenia;Romania;0
2021;SF1_Tele;Slovenia;Azerbaijan;0
2021;SF1_Tele;Slovenia;Ukraine;0
2021;SF1_Tele;Slovenia;Malta;0
2021;SF1_Tele;Slovenia;Germany;0
2021;SF1_Tele;Slovenia;Italy;0
2021;SF1_Tele;Slovenia;Netherlands;0
2021;SF1_Tele;Russia;Lithuania;8
2021;SF1_Tele;Russia;Slovenia;7
2021;SF1_Tele;Russia;Russia;NA
2021;SF1_Tele;Russia;Sweden;3
2021;SF1_Tele;Russia;Australia;7
2021;SF1_Tele;Russia;North Macedonia;8
2021;SF1_Tele;Russia;Ireland;1
2021;SF1_Tele;Russia;Cyprus;7
2021;SF1_Tele;Russia;Norway;4
2021;SF1_Tele;Russia;Croatia;10
2021;SF1_Tele;Russia;Belgium;2
2021;SF1_Tele;Russia;Israel;12
2021;SF1_Tele;Russia;Romania;5
2021;SF1_Tele;Russia;Azerbaijan;8
2021;SF1_Tele;Russia;Ukraine;6
2021;SF1_Tele;Russia;Malta;2
2021;SF1_Tele;Russia;Germany;6
2021;SF1_Tele;Russia;Italy;7
2021;SF1_Tele;Russia;Netherlands;5
2021;SF1_Tele;Sweden;Lithuania;5
2021;SF1_Tele;Sweden;Slovenia;2
2021;SF1_Tele;Sweden;Russia;2
2021;SF1_Tele;Sweden;Sweden;NA
2021;SF1_Tele;Sweden;Australia;0
2021;SF1_Tele;Sweden;North Macedonia;0
2021;SF1_Tele;Sweden;Ireland;4
2021;SF1_Tele;Sweden;Cyprus;3
2021;SF1_Tele;Sweden;Norway;10
2021;SF1_Tele;Sweden;Croatia;0
2021;SF1_Tele;Sweden;Belgium;7
2021;SF1_Tele;Sweden;Israel;2
2021;SF1_Tele;Sweden;Romania;0
2021;SF1_Tele;Sweden;Azerbaijan;1
2021;SF1_Tele;Sweden;Ukraine;3
2021;SF1_Tele;Sweden;Malta;10
2021;SF1_Tele;Sweden;Germany;0
2021;SF1_Tele;Sweden;Italy;0
2021;SF1_Tele;Sweden;Netherlands;2
2021;SF1_Tele;Australia;Lithuania;0
2021;SF1_Tele;Australia;Slovenia;0
2021;SF1_Tele;Australia;Russia;1
2021;SF1_Tele;Australia;Sweden;0
2021;SF1_Tele;Australia;Australia;NA
2021;SF1_Tele;Australia;North Macedonia;0
2021;SF1_Tele;Australia;Ireland;0
2021;SF1_Tele;Australia;Cyprus;0
2021;SF1_Tele;Australia;Norway;0
2021;SF1_Tele;Australia;Croatia;0
2021;SF1_Tele;Australia;Belgium;0
2021;SF1_Tele;Australia;Israel;0
2021;SF1_Tele;Australia;Romania;0
2021;SF1_Tele;Australia;Azerbaijan;0
2021;SF1_Tele;Australia;Ukraine;1
2021;SF1_Tele;Australia;Malta;0
2021;SF1_Tele;Australia;Germany;0
2021;SF1_Tele;Australia;Italy;0
2021;SF1_Tele;Australia;Netherlands;0
2021;SF1_Tele;North Macedonia;Lithuania;0
2021;SF1_Tele;North Macedonia;Slovenia;8
2021;SF1_Tele;North Macedonia;Russia;0
2021;SF1_Tele;North Macedonia;Sweden;0
2021;SF1_Tele;North Macedonia;Australia;0
2021;SF1_Tele;North Macedonia;North Macedonia;NA
2021;SF1_Tele;North Macedonia;Ireland;0
2021;SF1_Tele;North Macedonia;Cyprus;0
2021;SF1_Tele;North Macedonia;Norway;0
2021;SF1_Tele;North Macedonia;Croatia;1
2021;SF1_Tele;North Macedonia;Belgium;0
2021;SF1_Tele;North Macedonia;Israel;0
2021;SF1_Tele;North Macedonia;Romania;2
2021;SF1_Tele;North Macedonia;Azerbaijan;0
2021;SF1_Tele;North Macedonia;Ukraine;0
2021;SF1_Tele;North Macedonia;Malta;0
2021;SF1_Tele;North Macedonia;Germany;0
2021;SF1_Tele;North Macedonia;Italy;0
2021;SF1_Tele;North Macedonia;Netherlands;0
2021;SF1_Tele;Ireland;Lithuania;1
2021;SF1_Tele;Ireland;Slovenia;0
2021;SF1_Tele;Ireland;Russia;0
2021;SF1_Tele;Ireland;Sweden;0
2021;SF1_Tele;Ireland;Australia;2
2021;SF1_Tele;Ireland;North Macedonia;0
2021;SF1_Tele;Ireland;Ireland;NA
2021;SF1_Tele;Ireland;Cyprus;0
2021;SF1_Tele;Ireland;Norway;0
2021;SF1_Tele;Ireland;Croatia;0
2021;SF1_Tele;Ireland;Belgium;0
2021;SF1_Tele;Ireland;Israel;0
2021;SF1_Tele;Ireland;Romania;0
2021;SF1_Tele;Ireland;Azerbaijan;0
2021;SF1_Tele;Ireland;Ukraine;0
2021;SF1_Tele;Ireland;Malta;1
2021;SF1_Tele;Ireland;Germany;0
2021;SF1_Tele;Ireland;Italy;0
2021;SF1_Tele;Ireland;Netherlands;0
2021;SF1_Tele;Cyprus;Lithuania;4
2021;SF1_Tele;Cyprus;Slovenia;1
2021;SF1_Tele;Cyprus;Russia;5
2021;SF1_Tele;Cyprus;Sweden;4
2021;SF1_Tele;Cyprus;Australia;6
2021;SF1_Tele;Cyprus;North Macedonia;6
2021;SF1_Tele;Cyprus;Ireland;6
2021;SF1_Tele;Cyprus;Cyprus;NA
2021;SF1_Tele;Cyprus;Norway;3
2021;SF1_Tele;Cyprus;Croatia;6
2021;SF1_Tele;Cyprus;Belgium;3
2021;SF1_Tele;Cyprus;Israel;6
2021;SF1_Tele;Cyprus;Romania;4
2021;SF1_Tele;Cyprus;Azerbaijan;4
2021;SF1_Tele;Cyprus;Ukraine;4
2021;SF1_Tele;Cyprus;Malta;12
2021;SF1_Tele;Cyprus;Germany;1
2021;SF1_Tele;Cyprus;Italy;2
2021;SF1_Tele;Cyprus;Netherlands;1
2021;SF1_Tele;Norway;Lithuania;6
2021;SF1_Tele;Norway;Slovenia;6
2021;SF1_Tele;Norway;Russia;6
2021;SF1_Tele;Norway;Sweden;12
2021;SF1_Tele;Norway;Australia;3
2021;SF1_Tele;Norway;North Macedonia;0
2021;SF1_Tele;Norway;Ireland;2
2021;SF1_Tele;Norway;Cyprus;1
2021;SF1_Tele;Norway;Norway;NA
2021;SF1_Tele;Norway;Croatia;2
2021;SF1_Tele;Norway;Belgium;6
2021;SF1_Tele;Norway;Israel;4
2021;SF1_Tele;Norway;Romania;3
2021;SF1_Tele;Norway;Azerbaijan;10
2021;SF1_Tele;Norway;Ukraine;2
2021;SF1_Tele;Norway;Malta;6
2021;SF1_Tele;Norway;Germany;4
2021;SF1_Tele;Norway;Italy;1
2021;SF1_Tele;Norway;Netherlands;3
2021;SF1_Tele;Croatia;Lithuania;0
2021;SF1_Tele;Croatia;Slovenia;12
2021;SF1_Tele;Croatia;Russia;0
2021;SF1_Tele;Croatia;Sweden;2
2021;SF1_Tele;Croatia;Australia;5
2021;SF1_Tele;Croatia;North Macedonia;12
2021;SF1_Tele;Croatia;Ireland;7
2021;SF1_Tele;Croatia;Cyprus;2
2021;SF1_Tele;Croatia;Norway;1
2021;SF1_Tele;Croatia;Croatia;NA
2021;SF1_Tele;Croatia;Belgium;0
2021;SF1_Tele;Croatia;Israel;3
2021;SF1_Tele;Croatia;Romania;0
2021;SF1_Tele;Croatia;Azerbaijan;2
2021;SF1_Tele;Croatia;Ukraine;0
2021;SF1_Tele;Croatia;Malta;0
2021;SF1_Tele;Croatia;Germany;7
2021;SF1_Tele;Croatia;Italy;0
2021;SF1_Tele;Croatia;Netherlands;0
2021;SF1_Tele;Belgium;Lithuania;10
2021;SF1_Tele;Belgium;Slovenia;4
2021;SF1_Tele;Belgium;Russia;3
2021;SF1_Tele;Belgium;Sweden;5
2021;SF1_Tele;Belgium;Australia;0
2021;SF1_Tele;Belgium;North Macedonia;2
2021;SF1_Tele;Belgium;Ireland;0
2021;SF1_Tele;Belgium;Cyprus;0
2021;SF1_Tele;Belgium;Norway;2
2021;SF1_Tele;Belgium;Croatia;0
2021;SF1_Tele;Belgium;Belgium;NA
2021;SF1_Tele;Belgium;Israel;1
2021;SF1_Tele;Belgium;Romania;1
2021;SF1_Tele;Belgium;Azerbaijan;0
2021;SF1_Tele;Belgium;Ukraine;5
2021;SF1_Tele;Belgium;Malta;0
2021;SF1_Tele;Belgium;Germany;3
2021;SF1_Tele;Belgium;Italy;4
2021;SF1_Tele;Belgium;Netherlands;7
2021;SF1_Tele;Israel;Lithuania;2
2021;SF1_Tele;Israel;Slovenia;0
2021;SF1_Tele;Israel;Russia;4
2021;SF1_Tele;Israel;Sweden;6
2021;SF1_Tele;Israel;Australia;4
2021;SF1_Tele;Israel;North Macedonia;1
2021;SF1_Tele;Israel;Ireland;5
2021;SF1_Tele;Israel;Cyprus;10
2021;SF1_Tele;Israel;Norway;5
2021;SF1_Tele;Israel;Croatia;4
2021;SF1_Tele;Israel;Belgium;4
2021;SF1_Tele;Israel;Israel;NA
